Sample.ID	Alignment	Genotype	TF	Cell_Type	Replicate	Collection_time.h	Condition	Type	TF_type	Sample	Set	umi_bam_path
284107	20240311	Fxp3AIDTIRF74G	Foxp3	aTreg	5	0h	Foxp3_0h_5	ctr	Foxp3_ctr	Foxp3_0h_5	aTreg_Fxp3AIDTIRF74G_0h_ctr	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284107_dedup/284107.umi_dedup.sorted.bam
284108	20240311	Fxp3AIDTIRF74G	Foxp3	aTreg	6	0h	Foxp3_0h_6	ctr	Foxp3_ctr	Foxp3_0h_6	aTreg_Fxp3AIDTIRF74G_0h_ctr	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284108_dedup/284108.umi_dedup.sorted.bam
284109	20240311	Fxp3AIDTIRF74G	Foxp3	aTreg	7	0h	Foxp3_0h_7	ctr	Foxp3_ctr	Foxp3_0h_7	aTreg_Fxp3AIDTIRF74G_0h_ctr	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284109_dedup/284109.umi_dedup.sorted.bam
284110	20240311	Fxp3AIDTIRF74G	Foxp3	aTreg	5	6h	Foxp3_6h_5	exp	Foxp3_exp	Foxp3_6h_5	aTreg_Fxp3AIDTIRF74G_6h_exp	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284110_dedup/284110.umi_dedup.sorted.bam
284111	20240311	Fxp3AIDTIRF74G	Foxp3	aTreg	6	6h	Foxp3_6h_6	exp	Foxp3_exp	Foxp3_6h_6	aTreg_Fxp3AIDTIRF74G_6h_exp	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284111_dedup/284111.umi_dedup.sorted.bam
284112	20240311	Fxp3AIDTIRF74G	Foxp3	aTreg	8	0h	Foxp3_0h_8	ctr	Foxp3_ctr	Foxp3_0h_8	aTreg_Fxp3AIDTIRF74G_0h_ctr	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284112_dedup/284112.umi_dedup.sorted.bam
284113	20240311	Fxp3AIDTIRF74G	Foxp3	aTreg	9	0h	Foxp3_0h_9	ctr	Foxp3_ctr	Foxp3_0h_9	aTreg_Fxp3AIDTIRF74G_0h_ctr	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284113_dedup/284113.umi_dedup.sorted.bam
284114	20240311	Fxp3AIDTIRF74G	Foxp3	aTreg	10	0h	Foxp3_0h_10	ctr	Foxp3_ctr	Foxp3_0h_10	aTreg_Fxp3AIDTIRF74G_0h_ctr	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284114_dedup/284114.umi_dedup.sorted.bam
284115	20240311	Fxp3AIDTIRF74G	Foxp3	aTreg	7	6h	Foxp3_6h_7	exp	Foxp3_exp	Foxp3_6h_7	aTreg_Fxp3AIDTIRF74G_6h_exp	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284115_dedup/284115.umi_dedup.sorted.bam
284116	20240311	Fxp3AIDTIRF74G	Foxp3	aTreg	8	6h	Foxp3_6h_8	exp	Foxp3_exp	Foxp3_6h_8	aTreg_Fxp3AIDTIRF74G_6h_exp	/groups/vbcf-ngs-imp/data/dar/alignments/22HC53LT3/284116_dedup/284116.umi_dedup.sorted.bam
